"","Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Name","Pos","WAR","G","AB","HR","BA","OPS","G.1","W","L","ERA","WHIP","SV","Type","Drafted.Out.of","bbrid"
"51",2016,2,NA,51,"FrRnd",10,"Red Sox","Y","C.J. Chatham (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Florida Atlantic University (Boca Raton, FL)","chatha000cj-"
"52",2016,2,NA,52,"FrRnd",11,"Diamondbacks","Y","Andy Yerzy (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","York Mills Collegiate Institute (Toronto, ON)","yerzy-000and"
"53",2016,2,NA,53,"FrRnd",12,"Rays","Y","Ryan Boldt (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Nebraska at Lincoln (Lincoln, NE)","boldt-001rya"
"54",2016,2,NA,54,"FrRnd",13,"Orioles","Y","Keegan Akin (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Western Michigan University (Kalamazoo, MI)","akin--000kee"
"55",2016,2,NA,55,"FrRnd",14,"Indians","Y","Nolan Jones (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Holy Ghost Prep HS (Philadelphia, PA)","jones-000nol"
"56",2016,2,NA,56,"FrRnd",15,"Twins","Y","Ben Rortvedt (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Verona HS (Verona, WI)","rortve000ben"
"57",2016,2,NA,57,"FrRnd",16,"Blue Jays","Y","J.B. Woodman (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Mississippi (Oxford, MS)","woodma000jb-"
"58",2016,2,NA,58,"FrRnd",17,"Nationals","Y","Sheldon Neuse (minors)","3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Oklahoma (Norman, OK)","neuse-000she"
"59",2016,2,NA,59,"FrRnd",18,"Giants","Y","Bryan Reynolds (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Vanderbilt University (Nashville, TN)","reynol000bry"
"60",2016,2,NA,60,"FrRnd",19,"Angels","Y","Brandon Marsh (minors)","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Buford HS (Buford, GA)","marsh-000bra"
"61",2016,2,NA,61,"FrRnd",20,"Astros","Y","Ronnie Dawson (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","The Ohio State University (Columbus, OH)","dawson002ron"
"62",2016,2,NA,62,"FrRnd",21,"Yankees","Y","Nick Solak (minors)","2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Louisville (Louisville, KY)","solak-000nic"
"63",2016,2,NA,63,"FrRnd",22,"Rangers","Y","Alex Speas (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","McEachern HS (Powder Springs, GA)","speas-000ale"
"64",2016,2,NA,64,"FrRnd",23,"Mets","Y","Peter Alonso (minors)","1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Florida (Gainesville, FL)","alonso000pet"
"65",2016,2,NA,65,"FrRnd",24,"Dodgers","Y","Mitchell White (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Santa Clara University (Santa Clara, CA)","white-000mit"
"66",2016,2,NA,66,"FrRnd",25,"Blue Jays","Y","Bo Bichette (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Lakewood HS (St. Petersburg, FL)","bichet000bo-"
"67",2016,2,NA,67,"FrRnd",26,"Royals","Y","A.J. Puckett (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Pepperdine University (Malibu, CA)","pucket000aj-"
"68",2016,2,NA,68,"FrRnd",27,"Pirates","Y","Travis MacGregor (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","East Lake HS (Tarpon Springs, FL)","macgre000tra"
"69",2016,2,NA,69,"FrRnd",28,"Orioles","Y","Matthias Dietz (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JC","John A Logan College (Carterville, IL)","dietz-000mat"
"70",2016,2,NA,70,"FrRnd",29,"Cardinals","Y","Connor Jones (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Virginia (Charlottesville, VA)","jones-002con"
"71",2016,2,NA,71,"FrRnd",30,"Padres","Y","Reggie Lawson (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Victor Valley HS (Victorville, CA)","lawson001reg"
"72",2016,2,NA,72,"FrRnd",31,"Indians","Y","Logan Ice (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Oregon State University (Corvallis, OR)","ice---000log"
"73",2016,2,NA,73,"FrRnd",32,"Twins","Y","Jose Miranda (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Leadership Christian Academy (Guaynabo, Puerto Rico)","mirand004jos"
"74",2016,2,NA,74,"FrRnd",33,"Twins","Y","Akil Baddoo (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Salem HS (Conyers, GA)","baddoo000aki"
"75",2016,2,NA,75,"FrRnd",34,"Brewers","Y","Mario Feliciano (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Carlos Beltran Baseball Academy (Florida, Puerto Rico)","felici000mar"
"76",2016,2,NA,76,"FrRnd",35,"Braves","Y","Brett Cumberland (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of California, Berkeley (Berkeley, CA)","cumber000bre"
"77",2016,2,NA,77,"FrRnd",36,"Rays","Y","Jake Fraley (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Louisiana State University (Baton Rouge, LA)","fraley000jak"
"78",2016,3,NA,78,"FrRnd",1,"Phillies","Y","Cole Stobbe (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Millard West HS (Omaha, NE)","stobbe000col"
"79",2016,3,NA,79,"FrRnd",2,"Reds","Y","Nick Hanson (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Prior Lake HS (Savage, MN)","hanson002nic"
"80",2016,3,NA,80,"FrRnd",3,"Braves","Y","Drew Harrington (minors)","LHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Louisville (Louisville, KY)","harrin000dre"
"81",2016,3,NA,81,"FrRnd",4,"Rockies","Y","Garrett Hampson (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","California State University Long Beach (Long Beach, CA)","hampso000gar"
"82",2016,3,NA,82,"FrRnd",5,"Brewers","Y","Braden Webb (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of South Carolina (Columbia, SC)","webb--002bra"
"83",2016,3,NA,83,"FrRnd",6,"Athletics","Y","Sean Murphy (minors)","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Wright State University (Dayton, OH)","murphy006sea"
"84",2016,3,NA,84,"FrRnd",7,"Marlins","Y","Thomas Jones (minors)","CF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Laurens District 55 HS (Laurens, SC)","jones-018tho"
"85",2016,3,NA,85,"FrRnd",8,"Padres","Y","Mason Thompson (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Round Rock HS (Round Rock, TX)","thomps000mas"
"86",2016,3,NA,86,"FrRnd",9,"White Sox","Y","Alex Call (minors)","OF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Ball State University (Muncie, IN)","call--000ale"
"87",2016,3,NA,87,"FrRnd",10,"Mariners","Y","Bryson Brigman (minors)","SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of San Diego (San Diego, CA)","brigma000bry"
"88",2016,3,NA,88,"FrRnd",11,"Red Sox","Y","Shaun Anderson (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","University of Florida (Gainesville, FL)","anders000sha"
"89",2016,3,NA,89,"FrRnd",12,"Diamondbacks","Y","Jon Duplantier (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4Yr","Rice University (Houston, TX)","duplan000jon"
"90",2016,3,NA,90,"FrRnd",13,"Rays","Y","Austin Franklin (minors)","RHP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS","Paxton HS (Paxton, FL)","frankl000aus"
